,County,NAME,18-24-00num,18-24-00per,25-34-00num,25-34-00per,18-24-10num,18-24-10per,25-34-10num,25-34-10per,”Population aged 18-24, number," 2006-2010 5-yr est""","Population aged 18-24, percent, 2006-2010 5-yr est","Population aged 18-24, percent, 2006-2010 5-yr est, Margin of Error","Population aged 25-34, number, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est, Margin of Error",Unnamed: 18,total00,total10
84,Cuyahoga,1147.0,125.0,11.35,131.0,11.9,22,9.17,28,11.67,0,0,31.65,53,14.1,47.09,,,,256.0,50
85,Cuyahoga,1149.0,333.0,9.52,479.0,13.69,287,13.05,299,13.6,149,7.74,10.62,227,11.8,5.7,,,,812.0,586
86,Cuyahoga,1151.0,156.0,8.15,342.0,17.87,151,11.34,170,12.77,254,16.14,9.57,194,12.33,5.4,,,,498.0,321
87,Cuyahoga,1152.0,118.0,9.37,201.0,15.97,105,11.05,120,12.63,63,9.74,28.08,41,6.34,18.91,,,,319.0,225
88,Cuyahoga,1153.0,208.0,11.16,254.0,13.63,95,10.14,148,15.8,29,2.17,12.87,266,19.87,6.29,,,,462.0,243
89,Cuyahoga,1154.0,252.0,9.42,371.0,13.87,214,9.41,328,14.42,175,7.32,6.24,376,15.73,6.82,,,,623.0,542
90,Cuyahoga,1157.0,141.0,8.73,286.0,17.71,132,9.32,189,13.35,11,1.03,15.79,230,21.48,8.07,,,,427.0,321
91,Cuyahoga,1158.0,392.0,8.62,772.0,16.98,354,10.97,423,13.11,413,10.39,4.21,712,17.91,4.54,,,,1164.0,777
92,Cuyahoga,1159.0,335.09,8.43,647.17,16.27,304,8.28,485,13.21,399,11.01,3.46,463,12.78,4.16,,,,982.26,789
93,Cuyahoga,1161.0,127.0,10.32,144.0,11.7,114,11.95,99,10.38,184,17.1,17.57,37,3.44,16.11,,,,271.0,213
94,Cuyahoga,1162.0,148.0,9.3,168.0,10.56,125,10.91,108,9.42,98,7.17,12.99,126,9.22,10.02,,,,316.0,233
95,Cuyahoga,1163.0,195.0,7.95,292.0,11.91,146,8.61,194,11.45,123,7.12,10.74,131,7.58,5.73,,,,487.0,340
96,Cuyahoga,1164.0,334.0,8.21,437.0,10.74,281,9.4,323,10.8,408,11.62,3.73,397,11.31,4.27,,,,771.0,604
97,Cuyahoga,1165.0,331.0,8.47,451.0,11.53,286,11.03,274,10.57,126,4.9,7.68,180,7,3.81,,,,782.0,560
98,Cuyahoga,1166.0,413.0,9.81,499.0,11.86,256,9.74,274,10.42,273,10.04,6.24,248,9.12,5.63,,,,912.0,530
99,Cuyahoga,1167.0,176.0,7.36,287.0,12.01,202,11.83,149,8.72,143,8.71,11.63,187,11.39,5.76,,,,463.0,351
100,Cuyahoga,1168.0,340.0,8.49,510.0,12.74,287,10.22,346,12.32,354,12.59,7.78,321,11.42,4.21,,,,850.0,633
101,Cuyahoga,1169.0,256.0,9.55,356.0,13.27,153,9.6,193,12.12,71,4.51,11.3,94,5.98,8.37,,,,612.0,346
102,Cuyahoga,1171.01,268.0,8,512.0,15.29,241,9.98,277,11.47,203,8.38,8,356,14.7,5.49,,,,780.0,518
103,Cuyahoga,1171.02,187.0,10.19,250.0,13.62,118,9.73,140,11.54,245,16.47,11.12,141,9.48,9.77,,,,437.0,258
104,Cuyahoga,1172.01,177.0,4.74,351.0,9.4,193,5.76,220,6.56,166,4.97,6.07,281,8.42,4.08,,,,528.0,413
105,Cuyahoga,1172.02,185.0,7.99,416.0,17.98,202,11,224,12.19,320,15.94,5.2,240,11.96,4.74,,,,601.0,426
106,Cuyahoga,1173.0,318.0,8.89,467.0,13.05,399,15.47,247,9.57,603,18.43,5.67,232,7.09,3.64,,,,785.0,646
107,Cuyahoga,1174.0,197.0,9.44,333.0,15.96,165,10.67,199,12.87,141,9.73,13.15,155,10.7,5.97,,,,530.0,364
108,Cuyahoga,1175.0,299.0,8.42,616.0,17.34,292,10.58,409,14.81,308,12.22,6.81,220,8.73,3.67,,,,915.0,701
109,Cuyahoga,1176.0,217.0,6.47,633.0,18.87,256,8.41,335,11.01,352,9.53,4.95,480,13,4.19,,,,850.0,591
110,Cuyahoga,1177.0,329.0,6.28,900.0,17.17,342,6.98,523,10.68,287,5.87,4.53,657,13.44,3.81,,,,1229.0,865
111,Cuyahoga,1178.0,176.0,7.06,380.0,15.24,213,10.29,222,10.73,202,8.36,8.26,321,13.29,6.74,,,,556.0,435
112,Cuyahoga,1179.0,302.0,8.7,470.0,13.53,247,9.72,347,13.66,213,7.97,5.82,246,9.2,3.67,,,,772.0,594
113,Cuyahoga,1181.01,229.0,8.33,263.0,9.56,206,9.88,216,10.35,143,7.26,9.6,194,9.84,4.64,,,,492.0,422
114,Cuyahoga,1182.0,254.0,8.34,356.0,11.69,231,10.99,213,10.14,307,13.47,6.87,179,7.85,3.38,,,,610.0,444
115,Cuyahoga,1183.01,331.0,8.64,420.0,10.96,300,12.07,275,11.06,341,10.99,4.27,396,12.77,4.42,,,,751.0,575
116,Cuyahoga,1184.0,251.0,9.41,289.0,10.83,147,8.3,187,10.55,298,15.1,5.53,133,6.74,7.22,,,,540.0,334
117,Cuyahoga,1185.0,175.0,10.2,205.0,11.95,104,10.46,119,11.97,122,14.14,21.79,44,5.1,14.63,,,,380.0,223
118,Cuyahoga,1186.02,184.0,7.58,273.0,11.25,184,9.09,236,11.66,344,12.95,6.57,336,12.65,4.66,,,,457.0,420
119,Cuyahoga,1187.0,449.0,21.58,234.0,11.24,2645,71.89,221,6.01,2041,54.85,17.37,230,6.18,3.41,,,,683.0,2866
120,Cuyahoga,1188.0,992.0,27.99,1100.0,31.04,1235,40.08,794,25.77,843,29.53,9.03,1066,37.34,4.24,,,,2092.0,2029
121,Cuyahoga,1189.0,182.0,10.65,210.0,12.29,163,11.77,221,15.96,75,6.72,15.73,117,10.48,6.78,,,,392.0,384
122,Cuyahoga,1191.0,2274.0,87.33,90.0,3.46,28,22.05,42,33.07,0,0,104.39,27,23.68,149.17,,,,2364.0,70
123,Cuyahoga,1192.02,48.0,3.87,102.0,8.23,36,3.53,64,6.28,0,0,10.28,204,17.62,17.1,,,,150.0,100
124,Cuyahoga,1193.0,525.0,11.52,620.0,13.6,442,12.37,454,12.71,325,7.81,5.31,413,9.93,4.07,,,,1145.0,896
125,Cuyahoga,1194.01,211.0,8.2,459.0,17.83,171,8.02,373,17.49,182,8.14,8.63,311,13.91,5.44,,,,670.0,544
126,Cuyahoga,1194.02,233.0,9.19,366.0,14.44,201,11.32,217,12.22,209,10.31,10.07,192,9.47,7.35,,,,599.0,418
127,Cuyahoga,1195.01,237.0,8.11,580.0,19.86,228,8.99,396,15.62,274,8.64,5.14,458,14.44,3.98,,,,817.0,624
128,Cuyahoga,1195.02,210.0,9.45,443.0,19.94,190,10.72,232,13.09,201,10.13,9.94,259,13.05,8.38,,,,653.0,422
129,Cuyahoga,1196.0,331.0,9.2,494.0,13.74,258,9.48,300,11.03,276,10.93,6.61,169,6.69,5.85,,,,825.0,558
130,Cuyahoga,1197.01,200.0,8.01,344.0,13.78,187,9.23,178,8.79,66,3.75,10.06,153,8.69,4.27,,,,544.0,365
131,Cuyahoga,1197.02,298.0,8.99,493.0,14.87,234,10.51,269,12.08,381,14,4.61,394,14.47,4.75,,,,791.0,503
132,Cuyahoga,1198.0,435.0,8.52,651.0,12.75,392,11.51,353,10.36,431,11.05,3.78,302,7.75,3.72,,,,1086.0,745
133,Cuyahoga,1199.0,265.0,9,396.0,13.45,237,10.45,261,11.51,280,12.04,8.73,297,12.77,4.77,,,,661.0,498
134,Cuyahoga,1202.0,301.0,8.8,483.0,14.12,214,9.32,257,11.19,504,17.81,6.93,287,10.14,3.5,,,,784.0,471
135,Cuyahoga,1204.0,343.0,8.92,448.0,11.65,242,9.9,259,10.6,153,5.86,5.41,234,8.97,3.83,,,,791.0,501
136,Cuyahoga,1205.0,306.0,9.22,372.0,11.21,238,9.99,258,10.83,223,9.58,8.97,367,15.76,4.61,,,,678.0,496
137,Cuyahoga,1206.0,387.0,8.83,579.0,13.21,286,9.89,328,11.34,364,10.96,3.94,308,9.28,3.23,,,,966.0,614
138,Cuyahoga,1207.01,213.0,8.95,267.0,11.21,179,10.86,176,10.67,189,11.02,11.38,155,9.04,9.21,,,,480.0,355
139,Cuyahoga,1207.02,183.0,7.15,264.0,10.32,213,10.49,184,9.06,201,9.14,6.57,133,6.05,3.56,,,,447.0,397
140,Cuyahoga,1208.01,237.73,8.63,352.72,12.81,195,8.51,228,9.95,184,8.56,8.68,178,8.28,7.01,,,,590.45,423
141,Cuyahoga,1208.02,292.0,9.52,375.0,12.22,267,12.14,232,10.55,332,13.11,6.77,297,11.73,4.29,,,,667.0,499
142,Cuyahoga,1211.0,212.0,6.95,361.0,11.83,243,10.63,211,9.23,275,11.57,8.9,125,5.26,5.98,,,,573.0,454
143,Cuyahoga,1212.0,191.0,7.89,292.0,12.06,156,8.84,180,10.2,181,9.26,9.87,99,5.07,2.93,,,,483.0,336
144,Cuyahoga,1213.0,286.0,7.73,467.0,12.63,243,10.68,249,10.94,231,9.61,4.16,280,11.65,4.85,,,,753.0,492
145,Cuyahoga,1214.01,215.0,8.66,301.0,12.13,163,9.36,180,10.33,137,6.27,8.76,328,15.02,5.2,,,,516.0,343
146,Cuyahoga,1214.03,305.0,7.95,454.0,11.84,287,10.13,309,10.91,240,8.31,6.91,267,9.25,3.47,,,,759.0,596
147,Cuyahoga,1215.0,262.0,7.29,384.0,10.68,291,9.84,250,8.45,300,8.71,5.36,434,12.59,5.27,,,,646.0,541
148,Cuyahoga,1217.0,272.0,6.6,393.0,9.53,280,7.43,276,7.33,285,7.23,4.83,397,10.07,4.17,,,,665.0,556
149,Cuyahoga,1218.0,136.0,6.85,189.0,9.52,125,7.37,156,9.2,77,4.73,11.1,118,7.25,8.83,,,,325.0,281
150,Cuyahoga,1219.0,113.0,6.86,175.0,10.63,109,7.74,143,10.16,77,6.35,14.38,132,10.89,6.15,,,,288.0,252
151,Cuyahoga,1221.0,178.92,4.92,312.8,8.6,238,7.42,228,7.11,210,6.07,5.6,303,8.76,3.96,,,,491.72,466
